Day,Number of Bicycle Hires
08/12/2017,24431
07/12/2017,24810
06/12/2017,29058
05/12/2017,29611
04/12/2017,27613
03/12/2017,12773
02/12/2017,16887
01/12/2017,24321
30/11/2017,25986
29/11/2017,27319
28/11/2017,28202
27/11/2017,24324
26/11/2017,15229
25/11/2017,17691
24/11/2017,28930
23/11/2017,30147
22/11/2017,31315
21/11/2017,31316
20/11/2017,25998
19/11/2017,18874
18/11/2017,12976
17/11/2017,29876
16/11/2017,31112
15/11/2017,30564
14/11/2017,29355
13/11/2017,29301
12/11/2017,16460
11/11/2017,16679
10/11/2017,28480
09/11/2017,31374
08/11/2017,29455
07/11/2017,27314
06/11/2017,30663
05/11/2017,21588
04/11/2017,17801
03/11/2017,34716
02/11/2017,34290
01/11/2017,34747
31/10/2017,33312
30/10/2017,31364
29/10/2017,22228
28/10/2017,26633
27/10/2017,34654
26/10/2017,28423
25/10/2017,36064
24/10/2017,33732
23/10/2017,30604
22/10/2017,21013
21/10/2017,22475
20/10/2017,31306
19/10/2017,31069
18/10/2017,27348
17/10/2017,35199
16/10/2017,34787
15/10/2017,32696
14/10/2017,32123
13/10/2017,34229
12/10/2017,36372
11/10/2017,32760
10/10/2017,35961
09/10/2017,34182
08/10/2017,28830
07/10/2017,25505
06/10/2017,35344
05/10/2017,34779
04/10/2017,36798
03/10/2017,37187
02/10/2017,33891
01/10/2017,22814
30/09/2017,29003
29/09/2017,28782
28/09/2017,35526
27/09/2017,34694
26/09/2017,37394
25/09/2017,30066
24/09/2017,32726
23/09/2017,30654
22/09/2017,36125
21/09/2017,31174
20/09/2017,35149
19/09/2017,34917
18/09/2017,30718
17/09/2017,25300
16/09/2017,26166
15/09/2017,31628
14/09/2017,33252
13/09/2017,32583
12/09/2017,32569
11/09/2017,26886
10/09/2017,21298
09/09/2017,28349
08/09/2017,23199
07/09/2017,35614
06/09/2017,36559
05/09/2017,32336
04/09/2017,28710
03/09/2017,21934
02/09/2017,35246
01/09/2017,36194
31/08/2017,35953
30/08/2017,22542
29/08/2017,35427
28/08/2017,34862
27/08/2017,33657
26/08/2017,31442
25/08/2017,35108
24/08/2017,34548
23/08/2017,34439
22/08/2017,33327
21/08/2017,27725
20/08/2017,25270
19/08/2017,29156
18/08/2017,28252
17/08/2017,31947
16/08/2017,37037
15/08/2017,38181
14/08/2017,35979
13/08/2017,34928
12/08/2017,31034
11/08/2017,34462
10/08/2017,35707
09/08/2017,11525
08/08/2017,33854
07/08/2017,32303
06/08/2017,31536
05/08/2017,27715
04/08/2017,34893
03/08/2017,34430
02/08/2017,27123
01/08/2017,39837
31/07/2017,38541
30/07/2017,31893
29/07/2017,23334
28/07/2017,32857
27/07/2017,32588
26/07/2017,33566
25/07/2017,41029
24/07/2017,32515
23/07/2017,26432
22/07/2017,16392
21/07/2017,37967
20/07/2017,37164
19/07/2017,39340
18/07/2017,41804
17/07/2017,41811
16/07/2017,31595
15/07/2017,30690
14/07/2017,38932
13/07/2017,42082
12/07/2017,38377
11/07/2017,25955
10/07/2017,41086
09/07/2017,38912
08/07/2017,40196
07/07/2017,43547
06/07/2017,44386
05/07/2017,46035
04/07/2017,43784
03/07/2017,39970
02/07/2017,42875
01/07/2017,36183
30/06/2017,40350
29/06/2017,38137
28/06/2017,33008
27/06/2017,24206
26/06/2017,42096
25/06/2017,31012
24/06/2017,30271
23/06/2017,40025
22/06/2017,39708
21/06/2017,43885
20/06/2017,43185
19/06/2017,41624
18/06/2017,38577
17/06/2017,41719
16/06/2017,40288
15/06/2017,42249
14/06/2017,44762
13/06/2017,41337
12/06/2017,36114
11/06/2017,32997
10/06/2017,36788
09/06/2017,33705
08/06/2017,32751
07/06/2017,34819
06/06/2017,17387
05/06/2017,30846
04/06/2017,30840
03/06/2017,38635
02/06/2017,34459
01/06/2017,42514
31/05/2017,39019
30/05/2017,37517
29/05/2017,26476
28/05/2017,27909
27/05/2017,35354
26/05/2017,43701
25/05/2017,43528
24/05/2017,41644
23/05/2017,39259
22/05/2017,40021
21/05/2017,33728
20/05/2017,26825
19/05/2017,28730
18/05/2017,23268
17/05/2017,18926
16/05/2017,35964
15/05/2017,25882
14/05/2017,30145
13/05/2017,29539
12/05/2017,32618
11/05/2017,33911
10/05/2017,36305
09/05/2017,33211
08/05/2017,30426
07/05/2017,28491
06/05/2017,29020
05/05/2017,31355
04/05/2017,31200
03/05/2017,27191
02/05/2017,32945
01/05/2017,18493
30/04/2017,27461
29/04/2017,28450
28/04/2017,30390
27/04/2017,26727
26/04/2017,28360
25/04/2017,32383
24/04/2017,28500
23/04/2017,28736
22/04/2017,28323
21/04/2017,31510
20/04/2017,33546
19/04/2017,32500
18/04/2017,29490
17/04/2017,20130
16/04/2017,23090
15/04/2017,24627
14/04/2017,22357
13/04/2017,30343
12/04/2017,32570
11/04/2017,35436
10/04/2017,31158
09/04/2017,42854
08/04/2017,38878
07/04/2017,35434
06/04/2017,36003
05/04/2017,33985
04/04/2017,30887
03/04/2017,34287
02/04/2017,31064
01/04/2017,28237
31/03/2017,30730
30/03/2017,34219
29/03/2017,29907
28/03/2017,32314
27/03/2017,30887
26/03/2017,24090
25/03/2017,28374
24/03/2017,27578
23/03/2017,27639
22/03/2017,23725
21/03/2017,30182
20/03/2017,24145
19/03/2017,19335
18/03/2017,7771
17/03/2017,26481
16/03/2017,31876
15/03/2017,34548
14/03/2017,30857
13/03/2017,32177
12/03/2017,15850
11/03/2017,30560
10/03/2017,28126
09/03/2017,31113
08/03/2017,24440
07/03/2017,29174
06/03/2017,26917
05/03/2017,10593
04/03/2017,21546
03/03/2017,22914
02/03/2017,26938
01/03/2017,24746
28/02/2017,24755
27/02/2017,20001
26/02/2017,14911
25/02/2017,14132
24/02/2017,26832
23/02/2017,22520
22/02/2017,27290
21/02/2017,28929
20/02/2017,28665
19/02/2017,19169
18/02/2017,21292
17/02/2017,25883
16/02/2017,26649
15/02/2017,24330
14/02/2017,26649
13/02/2017,24159
12/02/2017,10272
11/02/2017,9394
10/02/2017,18673
09/02/2017,22900
08/02/2017,25770
07/02/2017,27156
06/02/2017,24312
05/02/2017,14570
04/02/2017,17324
03/02/2017,23231
02/02/2017,25601
01/02/2017,23181
31/01/2017,22623
30/01/2017,24969
29/01/2017,9078
28/01/2017,17523
27/01/2017,23387
26/01/2017,23831
25/01/2017,25175
24/01/2017,26611
23/01/2017,23280
22/01/2017,15628
21/01/2017,17552
20/01/2017,25125
19/01/2017,26826
18/01/2017,27194
17/01/2017,27281
16/01/2017,19230
15/01/2017,6752
14/01/2017,13766
13/01/2017,20963
12/01/2017,17109
11/01/2017,28270
10/01/2017,28106
09/01/2017,38042
08/01/2017,13506
07/01/2017,13879
06/01/2017,18973
05/01/2017,23580
04/01/2017,22122
03/01/2017,19622
02/01/2017,11954
01/01/2017,6534
31/12/2016,11584
30/12/2016,11684
29/12/2016,14206
28/12/2016,12530
27/12/2016,11003
26/12/2016,11637
25/12/2016,37401
24/12/2016,7978
23/12/2016,14534
22/12/2016,21659
21/12/2016,23329
20/12/2016,25106
19/12/2016,23736
18/12/2016,15152
17/12/2016,17473
16/12/2016,27926
15/12/2016,28449
14/12/2016,29130
13/12/2016,26747
12/12/2016,25476
11/12/2016,17713
10/12/2016,15054
09/12/2016,30076
08/12/2016,28632
07/12/2016,29735
06/12/2016,28347
05/12/2016,26456
04/12/2016,15448
03/12/2016,18120
02/12/2016,26223
01/12/2016,26431
30/11/2016,27119
29/11/2016,27847
28/11/2016,26980
27/11/2016,15628
26/11/2016,19805
25/11/2016,27692
24/11/2016,28091
23/11/2016,29047
22/11/2016,27723
21/11/2016,19374
20/11/2016,10704
19/11/2016,18288
18/11/2016,26884
17/11/2016,27692
16/11/2016,27646
15/11/2016,28810
14/11/2016,24824
13/11/2016,19258
12/11/2016,9709
11/11/2016,28088
10/11/2016,26075
09/11/2016,18878
08/11/2016,26382
07/11/2016,17329
06/11/2016,13576
05/11/2016,19649
04/11/2016,22143
03/11/2016,31111
02/11/2016,32316
01/11/2016,32334
31/10/2016,34747
30/10/2016,24166
29/10/2016,28114
28/10/2016,33769
27/10/2016,34203
26/10/2016,34322
25/10/2016,33313
24/10/2016,30329
23/10/2016,23812
22/10/2016,26322
21/10/2016,30838
20/10/2016,32624
19/10/2016,33953
18/10/2016,33062
17/10/2016,29007
16/10/2016,18685
15/10/2016,23773
14/10/2016,32637
13/10/2016,30762
12/10/2016,32552
11/10/2016,35254
10/10/2016,33045
09/10/2016,25390
08/10/2016,27236
07/10/2016,33361
06/10/2016,35332
05/10/2016,36314
04/10/2016,37162
03/10/2016,35892
02/10/2016,27335
01/10/2016,17832
30/09/2016,34140
29/09/2016,34840
28/09/2016,38893
27/09/2016,36094
26/09/2016,35059
25/09/2016,30015
24/09/2016,36243
23/09/2016,38963
22/09/2016,38411
21/09/2016,40646
20/09/2016,37658
19/09/2016,33401
18/09/2016,29830
17/09/2016,27548
16/09/2016,22204
15/09/2016,42598
14/09/2016,44909
13/09/2016,44035
12/09/2016,39687
11/09/2016,39906
10/09/2016,17308
09/09/2016,36554
08/09/2016,41004
07/09/2016,40232
06/09/2016,37982
05/09/2016,28210
04/09/2016,27901
03/09/2016,23805
02/09/2016,34661
01/09/2016,40302
31/08/2016,39344
30/08/2016,39992
29/08/2016,34665
28/08/2016,26325
27/08/2016,32656
26/08/2016,38222
25/08/2016,38191
24/08/2016,41088
23/08/2016,42558
22/08/2016,36064
21/08/2016,28625
20/08/2016,24712
19/08/2016,25862
18/08/2016,39379
17/08/2016,42879
16/08/2016,40899
15/08/2016,41764
14/08/2016,44648
13/08/2016,43792
12/08/2016,40645
11/08/2016,38034
10/08/2016,38917
09/08/2016,40052
08/08/2016,38117
07/08/2016,38620
06/08/2016,42579
05/08/2016,40570
04/08/2016,39488
03/08/2016,40683
02/08/2016,28949
01/08/2016,30074
31/07/2016,46276
30/07/2016,46251
29/07/2016,35737
28/07/2016,39009
27/07/2016,33646
26/07/2016,42528
25/07/2016,40999
24/07/2016,39070
23/07/2016,42121
22/07/2016,36401
21/07/2016,41731
20/07/2016,45156
19/07/2016,46625
18/07/2016,43497
17/07/2016,38340
16/07/2016,38916
15/07/2016,37045
14/07/2016,40364
13/07/2016,36128
12/07/2016,30186
11/07/2016,32781
10/07/2016,29556
09/07/2016,34525
08/07/2016,37311
07/07/2016,39670
06/07/2016,42871
05/07/2016,40955
04/07/2016,37628
03/07/2016,34195
02/07/2016,30802
01/07/2016,28108
30/06/2016,35867
29/06/2016,31496
28/06/2016,31701
27/06/2016,33695
26/06/2016,29597
25/06/2016,26357
24/06/2016,36530
23/06/2016,25129
22/06/2016,36628
21/06/2016,39003
20/06/2016,22309
19/06/2016,31372
18/06/2016,29692
17/06/2016,32018
16/06/2016,31406
15/06/2016,37704
14/06/2016,30218
13/06/2016,27571
12/06/2016,18109
11/06/2016,29018
10/06/2016,40139
09/06/2016,41546
08/06/2016,34588
07/06/2016,35137
06/06/2016,39528
05/06/2016,40836
04/06/2016,30140
03/06/2016,29580
02/06/2016,29162
01/06/2016,27156
31/05/2016,16227
30/05/2016,24041
29/05/2016,31246
28/05/2016,31301
27/05/2016,36133
26/05/2016,37442
25/05/2016,31919
24/05/2016,36580
23/05/2016,35451
22/05/2016,31115
21/05/2016,26785
20/05/2016,36101
19/05/2016,34655
18/05/2016,24335
17/05/2016,36810
16/05/2016,37441
15/05/2016,34725
14/05/2016,30442
13/05/2016,35109
12/05/2016,38525
11/05/2016,27922
10/05/2016,21673
09/05/2016,30821
08/05/2016,45301
07/05/2016,44532
06/05/2016,40117
05/05/2016,39104
04/05/2016,36514
03/05/2016,32037
02/05/2016,19598
01/05/2016,29664
30/04/2016,24844
29/04/2016,25658
28/04/2016,28901
27/04/2016,28431
26/04/2016,27862
25/04/2016,24389
24/04/2016,18873
23/04/2016,22060
22/04/2016,20532
21/04/2016,31937
20/04/2016,34577
19/04/2016,33719
18/04/2016,28512
17/04/2016,18274
16/04/2016,17801
15/04/2016,15919
14/04/2016,30566
13/04/2016,30285
12/04/2016,30801
11/04/2016,24162
10/04/2016,23389
09/04/2016,19858
08/04/2016,27357
07/04/2016,22338
06/04/2016,24132
05/04/2016,30155
04/04/2016,25182
03/04/2016,21068
02/04/2016,24416
01/04/2016,27310
31/03/2016,28486
30/03/2016,26700
29/03/2016,18945
28/03/2016,10316
27/03/2016,10149
26/03/2016,11211
25/03/2016,25612
24/03/2016,19477
23/03/2016,27052
22/03/2016,29312
21/03/2016,25990
20/03/2016,17163
19/03/2016,18060
18/03/2016,23210
17/03/2016,27198
16/03/2016,25489
15/03/2016,25379
14/03/2016,25597
13/03/2016,21938
12/03/2016,21834
11/03/2016,21026
10/03/2016,23648
09/03/2016,19280
08/03/2016,23308
07/03/2016,22785
06/03/2016,12591
05/03/2016,12340
04/03/2016,24179
03/03/2016,24559
02/03/2016,20775
01/03/2016,20876
29/02/2016,23738
28/02/2016,13549
27/02/2016,14871
26/02/2016,23714
25/02/2016,24296
24/02/2016,25634
23/02/2016,25832
22/02/2016,20538
21/02/2016,14745
20/02/2016,11224
19/02/2016,22300
18/02/2016,23696
17/02/2016,19168
16/02/2016,24537
15/02/2016,21918
14/02/2016,13782
13/02/2016,9948
12/02/2016,22995
11/02/2016,25393
10/02/2016,23769
09/02/2016,23460
08/02/2016,19924
07/02/2016,14219
06/02/2016,13255
05/02/2016,22806
04/02/2016,25344
03/02/2016,24601
02/02/2016,24643
01/02/2016,23742
31/01/2016,11098
30/01/2016,16528
29/01/2016,22701
28/01/2016,25490
27/01/2016,21816
26/01/2016,20329
25/01/2016,25886
24/01/2016,16474
23/01/2016,17424
22/01/2016,18431
21/01/2016,23490
20/01/2016,23919
19/01/2016,23919
18/01/2016,22905
17/01/2016,11826
16/01/2016,16258
15/01/2016,22594
14/01/2016,22266
13/01/2016,24726
12/01/2016,22924
11/01/2016,21188
10/01/2016,14447
09/01/2016,11674
08/01/2016,20948
07/01/2016,18225
06/01/2016,23199
05/01/2016,22934
04/01/2016,20644
03/01/2016,4894
02/01/2016,7246
01/01/2016,9922
31/12/2015,14024
30/12/2015,12379
29/12/2015,15717
28/12/2015,13851
27/12/2015,9507
26/12/2015,10362
25/12/2015,22871
24/12/2015,8968
23/12/2015,18568
22/12/2015,17571
21/12/2015,18239
20/12/2015,13118
19/12/2015,18883
18/12/2015,25886
17/12/2015,25977
16/12/2015,25740
15/12/2015,20310
14/12/2015,23972
13/12/2015,12364
12/12/2015,16815
11/12/2015,23439
10/12/2015,23251
09/12/2015,27739
08/12/2015,23565
07/12/2015,25897
06/12/2015,15627
05/12/2015,16667
04/12/2015,26130
03/12/2015,26038
02/12/2015,27975
01/12/2015,26714
30/11/2015,21886
29/11/2015,11453
28/11/2015,16523
27/11/2015,23667
26/11/2015,26826
25/11/2015,26187
24/11/2015,21348
23/11/2015,24070
22/11/2015,13205
21/11/2015,12847
20/11/2015,25993
19/11/2015,23852
18/11/2015,26636
17/11/2015,23773
16/11/2015,26676
15/11/2015,17711
14/11/2015,8983
13/11/2015,25410
12/11/2015,29108
11/11/2015,30049
10/11/2015,29429
09/11/2015,28623
08/11/2015,18943
07/11/2015,15031
06/11/2015,25677
05/11/2015,24685
04/11/2015,23675
03/11/2015,30911
02/11/2015,28256
01/11/2015,23085
31/10/2015,27765
30/10/2015,24195
29/10/2015,27534
28/10/2015,24040
27/10/2015,32635
26/10/2015,30606
25/10/2015,23591
24/10/2015,17058
23/10/2015,30515
22/10/2015,30539
21/10/2015,19085
20/10/2015,32949
19/10/2015,30127
18/10/2015,23282
17/10/2015,24555
16/10/2015,30295
15/10/2015,31062
14/10/2015,30815
13/10/2015,31753
12/10/2015,31469
11/10/2015,27984
10/10/2015,29683
09/10/2015,34392
08/10/2015,33877
07/10/2015,28817
06/10/2015,25972
05/10/2015,20833
04/10/2015,30096
03/10/2015,29224
02/10/2015,35782
01/10/2015,34845
30/09/2015,35143
29/09/2015,34591
28/09/2015,33341
27/09/2015,30024
26/09/2015,32955
25/09/2015,35064
24/09/2015,29537
23/09/2015,34193
22/09/2015,20567
21/09/2015,23831
20/09/2015,31380
19/09/2015,33855
18/09/2015,30124
17/09/2015,32336
16/09/2015,18764
15/09/2015,28311
14/09/2015,25923
13/09/2015,26342
12/09/2015,29143
11/09/2015,34690
10/09/2015,35956
09/09/2015,33332
08/09/2015,32968
07/09/2015,31917
06/09/2015,29539
05/09/2015,22475
04/09/2015,29913
03/09/2015,31163
02/09/2015,30313
01/09/2015,25739
31/08/2015,9709
30/08/2015,25191
29/08/2015,22828
28/08/2015,33201
27/08/2015,30856
26/08/2015,23969
25/08/2015,28401
24/08/2015,17520
23/08/2015,27202
22/08/2015,44724
21/08/2015,36329
20/08/2015,32857
19/08/2015,31903
18/08/2015,34776
17/08/2015,36003
16/08/2015,30948
15/08/2015,34137
14/08/2015,25638
13/08/2015,26185
12/08/2015,36838
11/08/2015,34567
10/08/2015,35625
09/08/2015,40758
08/08/2015,39362
07/08/2015,39788
06/08/2015,63963
05/08/2015,39010
04/08/2015,37864
03/08/2015,35609
02/08/2015,43679
01/08/2015,43492
31/07/2015,36932
30/07/2015,36350
29/07/2015,37021
28/07/2015,36310
27/07/2015,32103
26/07/2015,12497
25/07/2015,32982
24/07/2015,16135
23/07/2015,39368
22/07/2015,38133
21/07/2015,41001
20/07/2015,32140
19/07/2015,36989
18/07/2015,38906
17/07/2015,38845
16/07/2015,39609
15/07/2015,34878
14/07/2015,35600
13/07/2015,27646
12/07/2015,23498
11/07/2015,42676
10/07/2015,43266
09/07/2015,73094
08/07/2015,41921
07/07/2015,38120
06/07/2015,38895
05/07/2015,29963
04/07/2015,38640
03/07/2015,39940
02/07/2015,38467
01/07/2015,42891
30/06/2015,43582
29/06/2015,39280
28/06/2015,25846
27/06/2015,36885
26/06/2015,37281
25/06/2015,38856
24/06/2015,39183
23/06/2015,37663
22/06/2015,29711
21/06/2015,30621
20/06/2015,26546
19/06/2015,36220
18/06/2015,38875
17/06/2015,38799
16/06/2015,38166
15/06/2015,34723
14/06/2015,25402
13/06/2015,30566
12/06/2015,35367
11/06/2015,38969
10/06/2015,35862
09/06/2015,33447
08/06/2015,32745
07/06/2015,35757
06/06/2015,33088
05/06/2015,35048
04/06/2015,39687
03/06/2015,35630
02/06/2015,28070
01/06/2015,27893
31/05/2015,15075
30/05/2015,29432
29/05/2015,26155
28/05/2015,34496
27/05/2015,36496
26/05/2015,34880
25/05/2015,29607
24/05/2015,30267
23/05/2015,23989
22/05/2015,33624
21/05/2015,34922
20/05/2015,30650
19/05/2015,28408
18/05/2015,24385
17/05/2015,31506
16/05/2015,32720
15/05/2015,32522
14/05/2015,15657
13/05/2015,36877
12/05/2015,33930
11/05/2015,33872
10/05/2015,32399
09/05/2015,27995
08/05/2015,27029
07/05/2015,31283
06/05/2015,24556
05/05/2015,26633
04/05/2015,26933
03/05/2015,21375
02/05/2015,22474
01/05/2015,29822
30/04/2015,31854
29/04/2015,26197
28/04/2015,32024
27/04/2015,30735
26/04/2015,19565
25/04/2015,25441
24/04/2015,32332
23/04/2015,32935
22/04/2015,32559
21/04/2015,35103
20/04/2015,32163
19/04/2015,19906
18/04/2015,29846
17/04/2015,30001
16/04/2015,30656
15/04/2015,37709
14/04/2015,34830
13/04/2015,28203
12/04/2015,29457
11/04/2015,25415
10/04/2015,32299
09/04/2015,31671
08/04/2015,30882
07/04/2015,29525
06/04/2015,25724
05/04/2015,19685
04/04/2015,13828
03/04/2015,11503
02/04/2015,22818
01/04/2015,23677
31/03/2015,22898
30/03/2015,22235
29/03/2015,8987
28/03/2015,19242
27/03/2015,26567
26/03/2015,20415
25/03/2015,25779
24/03/2015,24161
23/03/2015,25741
22/03/2015,18782
21/03/2015,16304
20/03/2015,25424
19/03/2015,24241
18/03/2015,26618
17/03/2015,25956
16/03/2015,19950
15/03/2015,10744
14/03/2015,18270
13/03/2015,25840
12/03/2015,28324
11/03/2015,27610
10/03/2015,27878
09/03/2015,24230
08/03/2015,20207
07/03/2015,27754
06/03/2015,25527
05/03/2015,24959
04/03/2015,24544
03/03/2015,24001
02/03/2015,22379
01/03/2015,15817
28/02/2015,13677
27/02/2015,24540
26/02/2015,20131
25/02/2015,21708
24/02/2015,23758
23/02/2015,21857
22/02/2015,9214
21/02/2015,16490
20/02/2015,21014
19/02/2015,17081
18/02/2015,25340
17/02/2015,25288
16/02/2015,16548
15/02/2015,17253
14/02/2015,14644
13/02/2015,17836
12/02/2015,23429
11/02/2015,23870
10/02/2015,24399
09/02/2015,24078
08/02/2015,15983
07/02/2015,13324
06/02/2015,21146
05/02/2015,21396
04/02/2015,22056
03/02/2015,20028
02/02/2015,21770
01/02/2015,11420
31/01/2015,10385
30/01/2015,21405
29/01/2015,21421
28/01/2015,21685
27/01/2015,25222
26/01/2015,22867
25/01/2015,15267
24/01/2015,17748
23/01/2015,22093
22/01/2015,23432
21/01/2015,22987
20/01/2015,23384
19/01/2015,23193
18/01/2015,13373
17/01/2015,15443
16/01/2015,22894
15/01/2015,23123
14/01/2015,23767
13/01/2015,24966
12/01/2015,17354
11/01/2015,14738
10/01/2015,14877
09/01/2015,22285
08/01/2015,15769
07/01/2015,22504
06/01/2015,20765
05/01/2015,20566
04/01/2015,9367
03/01/2015,5779
02/01/2015,15389
01/01/2015,9615
31/12/2014,12811
30/12/2014,13120
29/12/2014,12411
28/12/2014,9293
27/12/2014,6349
26/12/2014,7678
25/12/2014,39145
24/12/2014,10385
23/12/2014,16551
22/12/2014,18552
21/12/2014,11802
20/12/2014,14690
19/12/2014,21966
18/12/2014,23196
17/12/2014,22120
16/12/2014,23087
15/12/2014,22940
14/12/2014,14441
13/12/2014,18255
12/12/2014,20436
11/12/2014,23028
10/12/2014,25028
09/12/2014,23925
08/12/2014,23519
07/12/2014,12789
06/12/2014,17431
05/12/2014,22939
04/12/2014,19993
03/12/2014,25376
02/12/2014,21614
01/12/2014,24983
30/11/2014,19998
29/11/2014,24337
28/11/2014,26782
27/11/2014,26765
26/11/2014,23096
25/11/2014,24359
24/11/2014,25884
23/11/2014,6030
22/11/2014,18347
21/11/2014,24070
20/11/2014,29068
19/11/2014,28807
18/11/2014,26094
17/11/2014,21398
16/11/2014,17849
15/11/2014,22842
14/11/2014,21442
13/11/2014,27839
12/11/2014,24878
11/11/2014,28993
10/11/2014,28303
09/11/2014,24099
08/11/2014,17473
07/11/2014,26779
06/11/2014,28274
05/11/2014,27970
04/11/2014,23525
03/11/2014,22347
02/11/2014,15887
01/11/2014,31912
31/10/2014,36478
30/10/2014,32503
29/10/2014,23281
28/10/2014,35320
27/10/2014,33716
26/10/2014,26514
25/10/2014,30053
24/10/2014,29144
23/10/2014,31277
22/10/2014,30642
21/10/2014,24681
20/10/2014,31642
19/10/2014,30480
18/10/2014,28951
17/10/2014,32770
16/10/2014,31541
15/10/2014,25424
14/10/2014,28518
13/10/2014,13299
12/10/2014,23063
11/10/2014,30498
10/10/2014,32510
09/10/2014,26642
08/10/2014,23573
07/10/2014,31465
06/10/2014,24330
05/10/2014,33082
04/10/2014,18967
03/10/2014,37909
02/10/2014,36992
01/10/2014,32733
30/09/2014,37373
29/09/2014,31701
28/09/2014,37873
27/09/2014,35087
26/09/2014,35474
25/09/2014,35367
24/09/2014,32680
23/09/2014,36460
22/09/2014,35178
21/09/2014,33334
20/09/2014,31031
19/09/2014,36841
18/09/2014,38442
17/09/2014,38583
16/09/2014,37535
15/09/2014,36629
14/09/2014,31770
13/09/2014,34174
12/09/2014,37144
11/09/2014,35303
10/09/2014,37091
09/09/2014,37674
08/09/2014,36983
07/09/2014,34248
06/09/2014,33434
05/09/2014,35013
04/09/2014,35448
03/09/2014,36523
02/09/2014,36836
01/09/2014,27455
31/08/2014,33312
30/08/2014,30832
29/08/2014,32439
28/08/2014,31842
27/08/2014,32286
26/08/2014,18448
25/08/2014,6175
24/08/2014,30962
23/08/2014,29999
22/08/2014,34047
21/08/2014,33236
20/08/2014,36817
19/08/2014,35332
18/08/2014,30784
17/08/2014,39952
16/08/2014,47245
15/08/2014,32510
14/08/2014,27185
13/08/2014,37856
12/08/2014,34827
11/08/2014,31725
10/08/2014,23980
09/08/2014,47454
08/08/2014,34234
07/08/2014,42491
06/08/2014,38665
05/08/2014,40716
04/08/2014,39856
03/08/2014,41944
02/08/2014,38046
01/08/2014,40009
31/07/2014,41970
30/07/2014,43044
29/07/2014,42308
28/07/2014,36203
27/07/2014,39917
26/07/2014,43788
25/07/2014,31881
24/07/2014,42412
23/07/2014,42486
22/07/2014,42928
21/07/2014,38499
20/07/2014,34379
19/07/2014,37061
18/07/2014,40543
17/07/2014,42404
16/07/2014,42341
15/07/2014,40888
14/07/2014,38450
13/07/2014,33227
12/07/2014,38331
11/07/2014,27618
10/07/2014,32108
09/07/2014,38844
08/07/2014,35107
07/07/2014,36191
06/07/2014,31117
05/07/2014,27332
04/07/2014,38316
03/07/2014,43116
02/07/2014,40878
01/07/2014,39495
30/06/2014,32193
29/06/2014,26714
28/06/2014,20199
27/06/2014,35912
26/06/2014,35438
25/06/2014,39623
24/06/2014,38066
23/06/2014,35206
22/06/2014,41596
21/06/2014,42463
20/06/2014,36924
19/06/2014,36113
18/06/2014,35431
17/06/2014,37658
16/06/2014,31592
15/06/2014,28944
14/06/2014,32758
13/06/2014,40036
12/06/2014,39928
11/06/2014,39582
10/06/2014,40128
09/06/2014,34305
08/06/2014,44415
07/06/2014,29919
06/06/2014,37440
05/06/2014,34617
04/06/2014,25905
03/06/2014,29332
02/06/2014,33481
01/06/2014,36655
31/05/2014,35040
30/05/2014,31331
29/05/2014,29229
28/05/2014,21978
27/05/2014,14446
26/05/2014,12049
25/05/2014,33401
24/05/2014,18723
23/05/2014,30556
22/05/2014,30819
21/05/2014,34437
20/05/2014,33626
19/05/2014,37088
18/05/2014,43663
17/05/2014,38147
16/05/2014,36268
15/05/2014,35148
14/05/2014,34122
13/05/2014,25351
12/05/2014,26149
11/05/2014,17645
10/05/2014,19373
09/05/2014,30131
08/05/2014,19398
07/05/2014,28802
06/05/2014,32323
05/05/2014,33748
04/05/2014,33030
03/05/2014,31534
02/05/2014,26510
01/05/2014,16644
30/04/2014,49025
29/04/2014,46333
28/04/2014,29474
27/04/2014,21284
26/04/2014,25195
25/04/2014,20400
24/04/2014,29119
23/04/2014,27102
22/04/2014,22689
21/04/2014,20532
20/04/2014,7188
19/04/2014,21424
18/04/2014,22152
17/04/2014,27676
16/04/2014,30934
15/04/2014,30031
14/04/2014,28742
13/04/2014,31404
12/04/2014,25706
11/04/2014,28435
10/04/2014,29229
09/04/2014,29621
08/04/2014,26654
07/04/2014,18883
06/04/2014,16387
05/04/2014,25648
04/04/2014,27401
03/04/2014,28245
02/04/2014,28876
01/04/2014,29782
31/03/2014,26715
30/03/2014,26605
29/03/2014,29511
28/03/2014,24198
27/03/2014,23462
26/03/2014,20493
25/03/2014,19421
24/03/2014,24055
23/03/2014,17463
22/03/2014,19091
21/03/2014,23821
20/03/2014,23718
19/03/2014,26719
18/03/2014,25502
17/03/2014,26465
16/03/2014,34421
15/03/2014,29664
14/03/2014,28134
13/03/2014,27552
12/03/2014,27173
11/03/2014,23871
10/03/2014,24347
09/03/2014,33955
08/03/2014,25556
07/03/2014,24385
06/03/2014,24696
05/03/2014,25102
04/03/2014,23069
03/03/2014,18150
02/03/2014,11727
01/03/2014,18823
28/02/2014,13781
27/02/2014,20629
26/02/2014,23938
25/02/2014,20713
24/02/2014,21469
23/02/2014,13680
22/02/2014,20033
21/02/2014,21269
20/02/2014,19396
19/02/2014,21556
18/02/2014,19484
17/02/2014,19013
16/02/2014,18484
15/02/2014,11208
14/02/2014,12794
13/02/2014,20954
12/02/2014,18000
11/02/2014,18514
10/02/2014,19278
